latitude,longitude,population,density_per_km2
12.94,80.11,31338,25434
12.94,80.12,32539,26410
12.94,80.13,40795,33110
12.94,80.14,53791,43658
12.94,80.15,60787,49336
12.94,80.16,60872,49405
12.94,80.17,70519,57234
12.94,80.18,77997,63304
12.94,80.19,79954,64892
12.94,80.2,80330,65198
12.94,80.21,80532,65361
12.94,80.22,80461,65304
12.94,80.23,71983,58423
12.94,80.24,89941,72998
12.94,80.25,74846,60747
12.94,80.26,74089,60133
12.94,80.27,72841,59119
12.94,80.28,71217,57801
12.94,80.29,59847,48573
12.94,80.3,58058,47121
12.94,80.31,38199,31003
12.94,80.32,23184,18816
12.94,80.33,22237,18048
12.94,80.34,14233,11552
12.94,80.35,7371,5982
12.95,80.04,8544,6935
12.95,80.05,16382,13296
12.95,80.06,24818,20143
12.95,80.07,26041,21135
12.95,80.08,27307,22163
12.95,80.09,28606,23217
12.95,80.1,29919,24283
12.95,80.11,36967,30003
12.95,80.12,38286,31074
12.95,80.13,46891,38058
12.95,80.14,48069,39014
12.95,80.15,61733,50103
12.95,80.16,71583,58098
12.95,80.17,78951,64078
12.95,80.18,86616,70300
12.95,80.19,87087,70681
12.95,80.2,107094,86920
12.95,80.21,101936,82734
12.95,80.22,120840,98077
12.95,80.23,113113,91805
12.95,80.24,113046,91751
12.95,80.25,97741,79329
12.95,80.26,96640,78435
12.95,80.27,94918,77038
12.95,80.28,73542,59688
12.95,80.29,71445,57986
12.95,80.3,59665,48425
12.95,80.31,57601,46750
12.95,80.32,42067,34142
12.95,80.33,22736,18453
12.95,80.34,14454,11731
12.95,80.35,7515,6100
12.96,80.04,8398,6816
12.96,80.05,23504,19076
12.96,80.06,24656,20011
12.96,80.07,25848,20979
12.96,80.08,27076,21975
12.96,80.09,28327,22991
12.96,80.1,35436,28760
12.96,80.11,36831,29892
12.96,80.12,38136,30952
12.96,80.13,46870,38041
12.96,80.14,48147,39077
12.96,80.15,71750,58234
12.96,80.16,72114,58530
12.96,80.17,86922,70548
12.96,80.18,107163,86976
12.96,80.19,118558,96224
12.96,80.2,137975,111983
12.96,80.21,139427,113162
12.96,80.22,153516,124597
12.96,80.23,140501,114034
12.96,80.24,140678,114178
12.96,80.25,125172,101592
12.96,80.26,123634,100344
12.96,80.27,98222,79719
12.96,80.28,95763,77723
12.96,80.29,92931,75424
12.96,80.3,70915,57556
12.96,80.31,52579,42674
12.96,80.32,43305,35147
12.96,80.33,41633,33790
12.96,80.34,22079,17920
12.96,80.35,7627,6190
12.97,80.04,8218,6670
12.97,80.05,23254,18874
12.97,80.06,24366,19776
12.97,80.07,25511,20705
12.97,80.08,26680,21654
12.97,80.09,33746,27389
12.97,80.1,35123,28507
12.97,80.11,36452,29585
12.97,80.12,37689,30589
12.97,80.13,46398,37657
12.97,80.14,57461,46637
12.97,80.15,65254,52962
12.97,80.16,71953,58399
12.97,80.17,117213,95133
12.97,80.18,118913,96512
12.97,80.19,138736,112601
12.97,80.2,154158,125118
12.97,80.21,156264,126827
12.97,80.22,149782,121566
12.97,80.23,150508,122156
12.97,80.24,144819,117538
12.97,80.25,129474,105084
12.97,80.26,128051,103929
12.97,80.27,125574,101919
12.97,80.28,122315,99274
12.97,80.29,108639,88174
12.97,80.3,85764,69608
12.97,80.31,53867,43720
12.97,80.32,51708,41967
12.97,80.33,42606,34580
12.97,80.34,40817,33128
12.97,80.35,15000,12174
12.97,80.36,7327,5947
12.98,80.05,15633,12688
12.98,80.06,23964,19449
12.98,80.07,25046,20328
12.98,80.08,31997,25970
12.98,80.09,33326,27048
12.98,80.1,34627,28104
12.98,80.11,35867,29110
12.98,80.12,36997,30027
12.98,80.13,45569,36985
12.98,80.14,56677,46000
12.98,80.15,64263,52157
12.98,80.16,95045,77140
12.98,80.17,117996,95768
12.98,80.18,133191,108101
12.98,80.19,154256,125197
12.98,80.2,157035,127453
12.98,80.21,151296,122795
12.98,80.22,153476,124565
12.98,80.23,154301,125234
12.98,80.24,148468,120499
12.98,80.25,133403,108273
12.98,80.26,132291,107370
12.98,80.27,129505,105109
12.98,80.28,125846,102140
12.98,80.29,115429,93685
12.98,80.3,101309,82224
12.98,80.31,84457,68547
12.98,80.32,52634,42719
12.98,80.33,43416,35237
12.98,80.34,41528,33705
12.98,80.35,33456,27154
12.98,80.36,7354,5968
12.99,80.06,23464,19044
12.99,80.07,30242,24545
12.99,80.08,31511,25575
12.99,80.09,32768,26595
12.99,80.1,33986,27583
12.99,80.11,35129,28511
12.99,80.12,36146,29337
12.99,80.13,54348,44110
12.99,80.14,55713,45218
12.99,80.15,93107,75568
12.99,80.16,102487,83181
12.99,80.17,125303,101699
12.99,80.18,153753,124789
12.99,80.19,163586,132770
12.99,80.2,166758,135345
12.99,80.21,161512,131087
12.99,80.22,163727,132885
12.99,80.23,164835,133784
12.99,80.24,157582,127897
12.99,80.25,136897,111109
12.99,80.26,135611,110065
12.99,80.27,132765,107755
12.99,80.28,122630,99529
12.99,80.29,118417,96110
12.99,80.3,113953,92487
12.99,80.31,99460,80724
12.99,80.32,46042,37369
12.99,80.33,44033,35738
12.99,80.34,35603,28896
12.99,80.35,33992,27589
12.99,80.36,7343,5960
13.0,80.06,14794,12007
13.0,80.07,29715,24117
13.0,80.08,30917,25093
13.0,80.09,32098,26052
13.0,80.1,33234,26973
13.0,80.11,34288,27829
13.0,80.12,35212,28579
13.0,80.13,53378,43323
13.0,80.14,64927,52696
13.0,80.15,86374,70103
13.0,80.16,109775,89096
13.0,80.17,133411,108279
13.0,80.18,155391,126118
13.0,80.19,159134,129157
13.0,80.2,154615,125489
13.0,80.21,157844,128110
13.0,80.22,166672,135275
13.0,80.23,168011,136361
13.0,80.24,154671,125535
13.0,80.25,141205,114605
13.0,80.26,139687,113373
13.0,80.27,129380,105007
13.0,80.28,125406,101782
13.0,80.29,120894,98120
13.0,80.3,116124,94249
13.0,80.31,111273,90312
13.0,80.32,89484,72627
13.0,80.33,44432,36062
13.0,80.34,36050,29259
13.0,80.35,34378,27902
13.0,80.36,25585,20765
13.01,80.06,7328,5947
13.01,80.07,21086,17114
13.01,80.08,30233,24538
13.01,80.09,31341,25437
13.01,80.1,32399,26296
13.01,80.11,33378,27090
13.01,80.12,34235,27786
13.01,80.13,52324,42468
13.01,80.14,83597,67849
13.01,80.15,93483,75872
13.01,80.16,123223,100010
13.01,80.17,152181,123513
13.01,80.18,148347,120401
13.01,80.19,152657,123900
13.01,80.2,156728,127204
13.01,80.21,160389,130175
13.01,80.22,163274,132517
13.01,80.23,157590,127903
13.01,80.24,150713,122322
13.01,80.25,150240,121938
13.01,80.26,142801,115901
13.01,80.27,139284,113046
13.01,80.28,127608,103569
13.01,80.29,122778,99649
13.01,80.3,117720,95544
13.01,80.31,112629,91412
13.01,80.32,90529,73475
13.01,80.33,57743,46866
13.01,80.34,36309,29469
13.01,80.35,34599,28081
13.01,80.36,18555,15060
13.02,80.06,5778,4690
13.02,80.07,13537,10987
13.02,80.08,21610,17539
13.02,80.09,22487,18251
13.02,80.1,23347,18949
13.02,80.11,32415,26309
13.02,80.12,33225,26966
13.02,80.13,60698,49263
13.02,80.14,97044,78763
13.02,80.15,113047,91752
13.02,80.16,115431,93686
13.02,80.17,151092,122630
13.02,80.18,155688,126360
13.02,80.19,153698,124745
13.02,80.2,164659,133641
13.02,80.21,168890,137075
13.02,80.22,165297,134159
13.02,80.23,167236,135732
13.02,80.24,160327,130125
13.02,80.25,159492,129447
13.02,80.26,159011,129056
13.02,80.27,155517,126221
13.02,80.28,144067,116928
13.02,80.29,131516,106741
13.02,80.3,126210,102435
13.02,80.31,120904,98129
13.02,80.32,98547,79983
13.02,80.33,78519,63727
13.02,80.34,36364,29514
13.02,80.35,34643,28117
13.02,80.36,18733,15204
13.03,80.06,5814,4718
13.03,80.07,6111,4960
13.03,80.08,13956,11327
13.03,80.09,21969,17831
13.03,80.1,22778,18487
13.03,80.11,30173,24489
13.03,80.12,31038,25191
13.03,80.13,59589,48363
13.03,80.14,88850,72113
13.03,80.15,105330,85488
13.03,80.16,108743,88258
13.03,80.17,137810,111850
13.03,80.18,156053,126656
13.03,80.19,167357,135830
13.03,80.2,172008,139606
13.03,80.21,162685,132039
13.03,80.22,166785,135366
13.03,80.23,162072,131542
13.03,80.24,169926,137916
13.03,80.25,168889,137074
13.03,80.26,161165,130805
13.03,80.27,164972,133895
13.03,80.28,159397,129370
13.03,80.29,153512,124593
13.03,80.3,134013,108768
13.03,80.31,114231,92712
13.03,80.32,102871,83492
13.03,80.33,79092,64193
13.03,80.34,43737,35498
13.03,80.35,34566,28055
13.03,80.36,18816,15271
13.04,80.06,5819,4723
13.04,80.07,6118,4965
13.04,80.08,6431,5220
13.04,80.09,20797,16879
13.04,80.1,28869,23430
13.04,80.11,29781,24171
13.04,80.12,37914,30772
13.04,80.13,59378,48193
13.04,80.14,81373,66044
13.04,80.15,105249,85422
13.04,80.16,108767,88277
13.04,80.17,144266,117090
13.04,80.18,148661,120656
13.04,80.19,167211,135712
13.04,80.2,164809,133762
13.04,80.21,169511,137578
13.04,80.22,166432,135080
13.04,80.23,170766,138597
13.04,80.24,178679,145020
13.04,80.25,177068,143712
13.04,80.26,168887,137073
13.04,80.27,165168,134054
13.04,80.28,159769,129672
13.04,80.29,153945,124945
13.04,80.3,133590,108425
13.04,80.31,115363,93631
13.04,80.32,110515,89696
13.04,80.33,86571,70263
13.04,80.34,56882,46167
13.04,80.35,34742,28198
13.04,80.36,26200,21265
13.05,80.06,5795,4703
13.05,80.07,6089,4942
13.05,80.08,12913,10480
13.05,80.09,13479,10940
13.05,80.1,21477,17431
13.05,80.11,22222,18036
13.05,80.12,30363,24643
13.05,80.13,58936,47833
13.05,80.14,80842,65613
13.05,80.15,97233,78917
13.05,80.16,107872,87551
13.05,80.17,136307,110629
13.05,80.18,140885,114346
13.05,80.19,152735,123963
13.05,80.2,163931,133050
13.05,80.21,161361,130964
13.05,80.22,177539,144095
13.05,80.23,188065,152638
13.05,80.24,182415,148052
13.05,80.25,180672,146638
13.05,80.26,167570,136003
13.05,80.27,163672,132840
13.05,80.28,158789,128876
13.05,80.29,139659,113351
13.05,80.3,134378,109064
13.05,80.31,121996,99015
13.05,80.32,100849,81851
13.05,80.33,86684,70354
13.05,80.34,57015,46275
13.05,80.35,27565,22372
13.05,80.36,26355,21390
13.05,80.37,7393,6000
13.06,80.06,5742,4660
13.06,80.07,6027,4892
13.06,80.08,13045,10588
13.06,80.09,13624,11057
13.06,80.1,14205,11529
13.06,80.11,14779,11994
13.06,80.12,30279,24575
13.06,80.13,41696,33841
13.06,80.14,73011,59257
13.06,80.15,89296,72475
13.06,80.16,99225,80533
13.06,80.17,109863,89167
13.06,80.18,139770,113441
13.06,80.19,141387,114752
13.06,80.2,153169,124315
13.06,80.21,157512,127840
13.06,80.22,176208,143014
13.06,80.23,185404,150478
13.06,80.24,179855,145974
13.06,80.25,178292,144706
13.06,80.26,163136,132405
13.06,80.27,159434,129400
13.06,80.28,143464,116438
13.06,80.29,138788,112644
13.06,80.3,133803,108598
13.06,80.31,121523,98631
13.06,80.32,107164,86977
13.06,80.33,79273,64340
13.06,80.34,57182,46410
13.06,80.35,35096,28484
13.06,80.36,26402,21428
13.06,80.37,7621,6185
13.06,80.38,7309,5932
13.07,80.07,12547,10184
13.07,80.08,13124,10652
13.07,80.09,13711,11128
13.07,80.1,14299,11605
13.07,80.11,14876,12073
13.07,80.12,23065,18720
13.07,80.13,34316,27851
13.07,80.14,65080,52820
13.07,80.15,87793,71254
13.07,80.16,91217,74034
13.07,80.17,98906,80274
13.07,80.18,120969,98181
13.07,80.19,139884,113533
13.07,80.2,144078,116937
13.07,80.21,162599,131969
13.07,80.22,173248,140611
13.07,80.23,175365,142330
13.07,80.24,175861,142733
13.07,80.25,168219,136530
13.07,80.26,153030,124203
13.07,80.27,149932,121688
13.07,80.28,146104,118581
13.07,80.29,141719,115022
13.07,80.3,132653,107664
13.07,80.31,113272,91934
13.07,80.32,99474,80735
13.07,80.33,78963,64088
13.07,80.34,49996,40578
13.07,80.35,35294,28645
13.07,80.36,15629,12685
13.07,80.37,7827,6352
13.07,80.38,7489,6078
13.08,80.07,12569,10201
13.08,80.08,13149,10672
13.08,80.09,13740,11151
13.08,80.1,14333,11633
13.08,80.11,22226,18039
13.08,80.12,23153,18791
13.08,80.13,34293,27833
13.08,80.14,35589,28885
13.08,80.15,87069,70667
13.08,80.16,94764,76913
13.08,80.17,98080,79604
13.08,80.18,119586,97059
13.08,80.19,130702,106081
13.08,80.2,141884,115156
13.08,80.21,153024,124198
13.08,80.22,155589,126279
13.08,80.23,157086,127495
13.08,80.24,157359,127716
13.08,80.25,151567,123015
13.08,80.26,149910,121670
13.08,80.27,147291,119545
13.08,80.28,143924,116811
13.08,80.29,132735,107730
13.08,80.3,128392,104205
13.08,80.31,102741,83387
13.08,80.32,98793,80182
13.08,80.33,58761,47691
13.08,80.34,36872,29926
13.08,80.35,35365,28703
13.08,80.36,16055,13031
13.08,80.37,15363,12469
13.08,80.38,7640,6201
13.08,80.39,7289,5916
13.09,80.06,6539,5307
13.09,80.07,6862,5570
13.09,80.08,13119,10648
13.09,80.09,13710,11127
13.09,80.1,14305,11610
13.09,80.11,22206,18023
13.09,80.12,23147,18787
13.09,80.13,24057,19525
13.09,80.14,35451,28772
13.09,80.15,76371,61985
13.09,80.16,93727,76071
13.09,80.17,96831,78590
13.09,80.18,99752,80961
13.09,80.19,121112,98297
13.09,80.2,139203,112980
13.09,80.21,149961,121712
13.09,80.22,152204,123532
13.09,80.23,153504,124587
13.09,80.24,153761,124795
13.09,80.25,147377,119614
13.09,80.26,139508,113228
13.09,80.27,137327,111457
13.09,80.28,134456,109128
13.09,80.29,130975,106302
13.09,80.3,117385,95272
13.09,80.31,106020,86048
13.09,80.32,80586,65406
13.09,80.33,58618,47576
13.09,80.34,36822,29886
13.09,80.35,17176,13940
13.09,80.36,16414,13322
13.09,80.37,15671,12719
13.09,80.38,7758,6296
13.09,80.39,7390,5998
13.1,80.06,6604,5360
13.1,80.07,6939,5631
13.1,80.08,13033,10578
13.1,80.09,13619,11053
13.1,80.1,14212,11534
13.1,80.11,14806,12016
13.1,80.12,23031,18692
13.1,80.13,23971,19455
13.1,80.14,41747,33883
13.1,80.15,47768,38770
13.1,80.16,82737,67151
13.1,80.17,95194,77262
13.1,80.18,97792,79370
13.1,80.19,107484,87236
13.1,80.2,136045,110417
13.1,80.21,138948,112773
13.1,80.22,141044,114474
13.1,80.23,149678,121482
13.1,80.24,144465,117251
13.1,80.25,143934,116820
13.1,80.26,136234,110571
13.1,80.27,134422,109099
13.1,80.28,131995,107130
13.1,80.29,119418,96923
13.1,80.3,108777,88286
13.1,80.31,97677,79277
13.1,80.32,60662,49235
13.1,80.33,58229,47260
13.1,80.34,36619,29721
13.1,80.35,17501,14204
13.1,80.36,16687,13543
13.1,80.37,15902,12906
13.1,80.38,15148,12294
13.1,80.39,7456,6051
13.11,80.06,6636,5386
13.11,80.07,6976,5662
13.11,80.08,7333,5952
13.11,80.09,13463,10927
13.11,80.1,14046,11400
13.11,80.11,14633,11876
13.11,80.12,22778,18487
13.11,80.13,23729,19259
13.11,80.14,35644,28930
13.11,80.15,47554,38596
13.11,80.16,62148,50441
13.11,80.17,83630,67876
13.11,80.18,95422,77447
13.11,80.19,104879,85122
13.11,80.2,114447,92888
13.11,80.21,135131,109675
13.11,80.22,137171,111331
13.11,80.23,132945,107901
13.11,80.24,133741,108547
13.11,80.25,133076,108007
13.11,80.26,125509,101866
13.11,80.27,114381,92834
13.11,80.28,112679,91453
13.11,80.29,110484,89671
13.11,80.3,107367,87141
13.11,80.31,67026,54400
13.11,80.32,64422,52286
13.11,80.33,44611,36207
13.11,80.34,18591,15089
13.11,80.35,17705,14369
13.11,80.36,16855,13680
13.11,80.37,16044,13021
13.11,80.38,15269,12393
13.11,80.39,7484,6074
13.12,80.06,6634,5384
13.12,80.07,6973,5659
13.12,80.08,7330,5949
13.12,80.09,7704,6253
13.12,80.1,8097,6572
13.12,80.11,14369,11662
13.12,80.12,22372,18157
13.12,80.13,23280,18894
13.12,80.14,35213,28580
13.12,80.15,36597,29703
13.12,80.16,48033,38985
13.12,80.17,62237,50513
13.12,80.18,83361,67657
13.12,80.19,92459,75042
13.12,80.2,101671,82518
13.12,80.21,113210,91884
13.12,80.22,127412,103410
13.12,80.23,128905,104622
13.12,80.24,119898,97312
13.12,80.25,119632,97096
13.12,80.26,112464,91279
13.12,80.27,111504,90499
13.12,80.28,110142,89393
13.12,80.29,108067,87709
13.12,80.3,75708,61447
13.12,80.31,65958,53533
13.12,80.32,45400,36847
13.12,80.33,26449,21466
13.12,80.34,18669,15152
13.12,80.35,17769,14421
13.12,80.36,16909,13724
13.12,80.37,16089,13058
13.12,80.38,15308,12424
13.12,80.39,7472,6064
13.13,80.06,6596,5354
13.13,80.07,6929,5624
13.13,80.08,7278,5907
13.13,80.09,7641,6202
13.13,80.1,8020,6509
13.13,80.11,8412,6827
13.13,80.12,21820,17710
13.13,80.13,22638,18374
13.13,80.14,27919,22660
13.13,80.15,35622,28911
13.13,80.16,36525,29644
13.13,80.17,47578,38615
13.13,80.18,61688,50067
13.13,80.19,89720,72819
13.13,80.2,93099,75561
13.13,80.21,94943,77058
13.13,80.22,96433,78267
13.13,80.23,97430,79076
13.13,80.24,97771,79353
13.13,80.25,115815,93998
13.13,80.26,108869,88361
13.13,80.27,108100,87737
13.13,80.28,106997,86841
13.13,80.29,75926,61623
13.13,80.3,48554,39407
13.13,80.31,46724,37922
13.13,80.32,32107,26059
13.13,80.33,26265,21317
13.13,80.34,18567,15069
13.13,80.35,17688,14356
13.13,80.36,16844,13671
13.13,80.37,16036,13015
13.13,80.38,15263,12388
13.13,80.39,7421,6023
13.14,80.06,6526,5297
13.14,80.07,6847,5557
13.14,80.08,7181,5828
13.14,80.09,7526,6108
13.14,80.1,7880,6395
13.14,80.11,8237,6686
13.14,80.12,8590,6972
13.14,80.13,16335,13258
13.14,80.14,21463,17420
13.14,80.15,28929,23479
13.14,80.16,29784,24173
13.14,80.17,30474,24733
13.14,80.18,41288,33510
13.14,80.19,62619,50823
13.14,80.2,71188,57778
13.14,80.21,72645,58961
13.14,80.22,93360,75773
13.14,80.23,94338,76567
13.14,80.24,94594,76774
13.14,80.25,94273,76514
13.14,80.26,68105,55275
13.14,80.27,67644,54902
13.14,80.28,56900,46181
